Fecha,Pieza,Costo Fab,Precio Venta,Ganancia,Tiempo,Filamento,Energia,Desgaste
05/04/2026 03:53,Llavero OSO x2,127,635,508,0h 41m,90,25,12
05/04/2026 03:56,Llavero Oso,91,455,364,0h 30m,64,18,9
